name,street,city,state,zip,type,website,phone,source
Evolve Cannabis,186 US-130,Bordentown,NJ,8505.0,R,https://www.google.com/maps/dir/?api=1&destination=186%20US-130%2C%20Bordentown%2C%20NJ%2008505%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Feels of Green,474 US-206,Newton,NJ,7860.0,R,https://www.google.com/maps/dir/?api=1&destination=474%20US-206%2C%20Newton%2C%20NJ%2007860%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fire and Oak,5 Washington St,Mt Holly,NJ,8060.0,R,https://www.google.com/maps/dir/?api=1&destination=5%20Washington%20St%2C%20Mt%20Holly%2C%20NJ%2008060%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flower & Flame Dispensary,601 College Dr,Blackwood,NJ,8012.0,R,https://www.google.com/maps/dir/?api=1&destination=601%20College%20Dr%2C%20Blackwood%2C%20NJ%2008012%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Flowerbomb Dispensary,1108 Clinton Ave,Irvington,NJ,7111.0,R,https://www.google.com/maps/dir/?api=1&destination=1108%20Clinton%20Ave%2C%20Irvington%2C%20NJ%2007111%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fresh Dispensary Eatontown,315 NJ-35,Eatontown,NJ,7724.0,R,https://www.google.com/maps/dir/?api=1&destination=315%20NJ-35%2C%20Eatontown%2C%20NJ%2007724%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Fresh Elizabeth,460 Maple Ave,Elizabeth,NJ,7202.0,R,https://www.google.com/maps/dir/?api=1&destination=460%20Maple%20Ave%2C%20Elizabeth%2C%20NJ%2007202%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
G2 Dispensary,350 US-46,Rockaway,NJ,7866.0,R,https://www.google.com/maps/dir/?api=1&destination=350%20US-46%2C%20Rockaway%2C%20NJ%2007866%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garden Greenz,190 Newark Ave,Jersey City,NJ,7302.0,R,https://www.google.com/maps/dir/?api=1&destination=190%20Newark%20Ave%2C%20Jersey%20City%2C%20NJ%2007302%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
Garden State Natural Green,4597 NJ-27,Kingston,NJ,8528.0,R,https://www.google.com/maps/dir/?api=1&destination=4597%20NJ-27%2C%20Kingston%2C%20NJ%2008528%2C%20USA,,https://my.atlist.com/map/8bed33fa-9b8c-4c51-bb33-74cd0d98628a?share=true
