name,street,city,state,zip,website,phone,source
Organic Farms,2895 Mt Ephraim Ave,Camden,NJ,08104,,,https://www.nj.gov/cannabis/dispensaries/find/
OTC Jersey,167 New Jersey Ave,Absecon,NJ,08201,,,https://www.nj.gov/cannabis/dispensaries/find/
Phasal,1100 N Black Horse Pike,Runnemede,NJ,08078,,,https://www.nj.gov/cannabis/dispensaries/find/
Phula,60-62 High St,Mt Holly,NJ,08060,,,https://www.nj.gov/cannabis/dispensaries/find/
Plant Base,148 E 2nd St,Plainfield,NJ,07060,,,https://www.nj.gov/cannabis/dispensaries/find/
Plantabis,2077 US-1,Rahway,NJ,07065,,,https://www.nj.gov/cannabis/dispensaries/find/
Plantopia,37 Main St,Englishtown,NJ,07726,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,3001 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Premo,2 E Front St,Keyport,NJ,07735,,,https://www.nj.gov/cannabis/dispensaries/find/
Public Absecon,792a White Horse Pike,Absecon,NJ,08201,,,https://www.nj.gov/cannabis/dispensaries/find/
Puffin Store,382 George St,New Brunswick,NJ,08901,,,https://www.nj.gov/cannabis/dispensaries/find/
Pure Blossom,2554 Pennington Rd,Pennington,NJ,08534,,,https://www.nj.gov/cannabis/dispensaries/find/
Pure Natural Vibes,470 Prospect Ave,West Orange,NJ,07052,,,https://www.nj.gov/cannabis/dispensaries/find/
Quality Roots,850 Rte 70 W,Marlton,NJ,08053,,,https://www.nj.gov/cannabis/dispensaries/find/
Queen City Remedies,1353 South Ave,Plainfield,NJ,07062,,,https://www.nj.gov/cannabis/dispensaries/find/
Releaf Cannabis,1024 S Black Horse Pike,Williamstown,NJ,08094,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,77 Main St,South Bound Brook,NJ,08880,,,https://www.nj.gov/cannabis/dispensaries/find/
Ruuted,14 Main St,Englishtown,NJ,07726,,,https://www.nj.gov/cannabis/dispensaries/find/
Salt Air Botanicals,1127 Arctic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Scarlet Reserve Room,5 Hamilton Rd,Englishtown,NJ,07726,,,https://www.nj.gov/cannabis/dispensaries/find/
Sea & Leaf,3860 Bayshore Rd,North Cape May,NJ,08204,,,https://www.nj.gov/cannabis/dispensaries/find/
Shipwreck'd,300 W Sylvania Ave,Neptune City,NJ,07753,,,https://www.nj.gov/cannabis/dispensaries/find/
Shore House Canna,124 Sunset Blvd,Cape May,NJ,08204,,,https://www.nj.gov/cannabis/dispensaries/find/
Simply Pure Trenton,1531 N Olden Ave,Ewing Township,NJ,08638,,,https://www.nj.gov/cannabis/dispensaries/find/
Sky Cannabis,52 E Broad St unit 9,Hopewell,NJ,08525,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,614 N Pearl St,Bridgeton,NJ,08302,,,https://www.nj.gov/cannabis/dispensaries/find/
Somerset Green,729 Somerset St,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Soulflora,2713 NJ-23,Newfoundland,NJ,07435,,,https://www.nj.gov/cannabis/dispensaries/find/
Sparkology,3231 NJ-27,Franklin Park,NJ,08823,,,https://www.nj.gov/cannabis/dispensaries/find/
Spot 23 LLC,2915 NJ-23,Newfoundland,NJ,07435,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,1070 Springfield Ave,Irvington,NJ,07111,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,130 US-22,Springfield,NJ,07081,,,https://www.nj.gov/cannabis/dispensaries/find/
SunnyTien,3004 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Sussex Pharms,54 Main St,Sussex,NJ,07461,,,https://www.nj.gov/cannabis/dispensaries/find/
Sweet Leaf's LLC,21 S Tennessee Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,751 Irvington Ave,Maplewood,NJ,07040,,,https://www.nj.gov/cannabis/dispensaries/find/
Sweetspot River Edge,75 Rte 4,River Edge,NJ,07661,,,https://www.nj.gov/cannabis/dispensaries/find/
Taste of Earth,108 Wheat Rd,Buena,NJ,08310,,,https://www.nj.gov/cannabis/dispensaries/find/
The Cannabis Place,1544 John F. Kennedy Blvd,Jersey City,NJ,07305,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,225 US-46,Saddle Brook,NJ,07663,,,https://www.nj.gov/cannabis/dispensaries/find/
The Frosted Nug at Red Bank,22 Bridge Ave,Red Bank,NJ,07701,,,https://www.nj.gov/cannabis/dispensaries/find/
"The Goods Supply Co. Victory Gardens, LLC",330 S Salem St,Dover,NJ,07801,,,https://www.nj.gov/cannabis/dispensaries/find/
The Healing Side,2415 Pacific Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
The Honorable Plant,123 Bay Ave,Highlands,NJ,07732,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,7-11 State St,Glassboro,NJ,08028,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,328 White Horse Pike Unit L,Clementon,NJ,08021,,,https://www.nj.gov/cannabis/dispensaries/find/
The Library of New Jersey,1-3 Washington St,West Orange,NJ,07052,,,https://www.nj.gov/cannabis/dispensaries/find/
The Medicine Woman,660 Tonnelle Ave,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,36 Congress St,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
The Social Leaf,334 Atlantic City Blvd,Toms River,NJ,08757,,,https://www.nj.gov/cannabis/dispensaries/find/
The THC Shop,1740 Atlantic Ave,Atlantic City,NJ,08401,,,https://www.nj.gov/cannabis/dispensaries/find/
The Wildflower Market,1810 Wayside Rd suite a,Eatontown,NJ,07724,,,https://www.nj.gov/cannabis/dispensaries/find/
Timber 5,695 Hamilton St,Somerset,NJ,08873,,,https://www.nj.gov/cannabis/dispensaries/find/
Township Green,15-17 E Scott St,Riverside,NJ,08075,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,326 NJ-73,Voorhees Township,NJ,08043,,,https://www.nj.gov/cannabis/dispensaries/find/
Treeotics,467 Lyons Ave,Newark,NJ,07112,,,https://www.nj.gov/cannabis/dispensaries/find/
Twisted Hat Cannabis,515 Shell Rd,Carneys Point,NJ,08069,,,https://www.nj.gov/cannabis/dispensaries/find/
Get Directions,138 Griffith St,Jersey City,NJ,07307,,,https://www.nj.gov/cannabis/dispensaries/find/
Uma Flowers,100 Ridgedale Ave,Morristown,NJ,07960,,,https://www.nj.gov/cannabis/dispensaries/find/
Union Chill,204 N Union St,Lambertville,NJ,08530,,,https://www.nj.gov/cannabis/dispensaries/find/
